"Question","SQL Query","Explanation"
"List all products","SELECT * FROM products;","Retrieves all columns (*) and all rows from the products table without any filtering."
"Get all customers","SELECT * FROM customers;","Fetches the entire dataset, including names, addresses, and credit limits, from the customers table."
"Show all orders","SELECT * FROM orders;","Examines the complete operational ledger of purchases by selecting all records from the orders table."
"List all employees","SELECT * FROM employees;","Returns every record from the corporate roster, providing all individual staff profiles."
"Get all offices","SELECT * FROM offices;","Pulls details for all active regional physical workspaces and distribution properties."
"Show all product lines","SELECT * FROM productlines;","Displays broad categorizations and descriptions mapped inside the catalog infrastructure."
"List all payments","SELECT * FROM payments;","Retrieves the entire historical table containing checks, dates, and amounts received from clients."
"Get product names and prices","SELECT ""productName"", ""buyPrice"" FROM products;","Limits the result set to show only specific item titles and their wholesale costs by specifying attributes instead of *."
"Get customer names and cities","SELECT ""customerName"", city FROM customers;","Extracts explicit customer identity strings alongside their primary geographical city locations."
"List employee first and last names","SELECT ""firstName"", ""lastName"" FROM employees;","Filters down organizational personnel logs to keep only the primary naming fields."
"Get all order dates","SELECT ""orderDate"" FROM orders;","Retrieves timestamps to establish a timeline of when client purchasing transactions occurred."
"Show product vendor list","SELECT DISTINCT ""productVendor"" FROM products;","Uses the DISTINCT keyword to remove duplicates, compiling a unique list of suppliers."
"Get all product codes","SELECT ""productCode"" FROM products;","Pulls only the unique alphanumeric primary key strings (SKUs) associated with catalog items."
"List all countries from offices","SELECT DISTINCT country FROM offices;","Filters administrative office properties to show only a unique list of operational countries."
"Show all order statuses","SELECT DISTINCT status FROM orders;","Scans systemic transactional states (such as Shipped, Resolved, On Hold) to display unique workflow phases."
"Get all payment amounts","SELECT amount FROM payments;","Isolates numerical income entries from the financial ledger."
"List all job titles","SELECT DISTINCT ""jobTitle"" FROM employees;","Identifies all distinct personnel roles and positions defined within the enterprise hierarchy."
"Get customer phone numbers","SELECT ""customerName"", phone FROM customers;","Pairs corporate/personal client account names directly with their phone contact strings."
"Show product MSRP values","SELECT ""productName"", ""MSRP"" FROM products;","Projects items next to their Manufacturer's Suggested Retail Price to evaluate consumer-facing valuations."
"List order numbers","SELECT ""orderNumber"" FROM orders;","Isolates only the auto-incremented primary identifier sequence values generated per sale transaction."
"Get orders with customer names","SELECT o.""orderNumber"", c.""customerName"" FROM orders o JOIN customers c ON o.""customerNumber"" = c.""customerNumber"";","Performs an internal join (JOIN) connecting transactional entries with customer accounts using the shared customerNumber key."
"Get employees with office city","SELECT e.""firstName"", e.""lastName"", o.city FROM employees e JOIN offices o ON e.""officeCode"" = o.""officeCode"";","Combines the personnel directory and office records on officeCode to identify the workspace city for each employee."
"Get payments with customer names","SELECT p.""checkNumber"", p.amount, c.""customerName"" FROM payments p JOIN customers c ON p.""customerNumber"" = c.""customerNumber"";","Enriches incoming remittance processing fields with user-friendly client business descriptors via customer number mapping."
"Get order details with product names","SELECT od.""orderNumber"", p.""productName"", od.""quantityOrdered"" FROM orderdetails od JOIN products p ON od.""productCode"" = p.""productCode"";","Connects the relational purchase manifest line-items back to the main inventory master list using productCode."
"Get products with product line description","SELECT p.""productName"", pl.""textDescription"" FROM products p JOIN productlines pl ON p.""productLine"" = pl.""productLine"";","Matches unique items with their broader textual category summaries using the productLine relationship."
"Get customers with sales rep names","SELECT c.""customerName"", e.""firstName"" AS rep_first, e.""lastName"" AS rep_last FROM customers c JOIN employees e ON c.""salesRepEmployeeNumber"" = e.""employeeNumber"";","Maps internal employees to client accounts by linking salesRepEmployeeNumber to the employee index."
"Get orders with customer city","SELECT o.""orderNumber"", c.city FROM orders o JOIN customers c ON o.""customerNumber"" = c.""customerNumber"";","Joins customer demographic info with order logs to evaluate delivery distributions across cities."
"Get employees and their manager","SELECT e.""firstName"" AS employee_name, m.""firstName"" AS manager_name FROM employees e LEFT JOIN employees m ON e.""reportsTo"" = m.""employeeNumber"";","Uses a self-join via LEFT JOIN on the employee table, matching the reportsTo attribute to parent manager profiles."
"Get orderdetails with product vendor","SELECT od.""orderNumber"", p.""productVendor"" FROM orderdetails od JOIN products p ON od.""productCode"" = p.""productCode"";","Traces item vendor tracking labels straight through to explicit client order checkout sheets."
"Get payments with customer country","SELECT p.""checkNumber"", c.country FROM payments p JOIN customers c ON p.""customerNumber"" = c.""customerNumber"";","Links international geographic accounts directly with financial receipts to help evaluate global revenue sources."
"Count customers per country","SELECT country, COUNT(*) AS total_customers FROM customers GROUP BY country;","Groups records by the country column, then uses COUNT(*) to return customer totals for each region."
"Total payments per customer","SELECT ""customerNumber"", SUM(amount) AS total_paid FROM payments GROUP BY ""customerNumber"";","Aggregates payment records by individual client identifiers, computing cumulative life-to-date spending values."
"Number of orders per status","SELECT status, COUNT(*) AS dynamic_count FROM orders GROUP BY status;","Groups orders by their fulfillment status, allowing operators to monitor operational workflow stages."
"Products per product line","SELECT ""productLine"", COUNT(*) AS product_count FROM products GROUP BY ""productLine"";","Groups inventory records by category segment to measure item density across different product lines."
"Employees per office","SELECT ""officeCode"", COUNT(*) AS staff_count FROM employees GROUP BY ""officeCode"";","Groups staff profiles by location code to calculate personnel headcounts for each workplace."
"Total stock per product vendor","SELECT ""productVendor"", SUM(""quantityInStock"") AS total_stock FROM products GROUP BY ""productVendor"";","Groups items by vendor and sums their inventory values to calculate the total stock provided by each supplier."
"Average buy price per product line","SELECT ""productLine"", AVG(""buyPrice"") AS avg_cost FROM products GROUP BY ""productLine"";","Uses AVG() to calculate the mean procurement price for each distinct product line category."
"Orders per customer","SELECT ""customerNumber"", COUNT(*) AS purchase_frequency FROM orders GROUP BY ""customerNumber"";","Counts overall transactions per customer ID to track client order frequencies."
"Max MSRP per product line","SELECT ""productLine"", MAX(""MSRP"") AS top_ticket_price FROM products GROUP BY ""productLine"";","Evaluates individual inventory category groups using MAX() to identify the highest list price in each line."
"Min buy price per vendor","SELECT ""productVendor"", MIN(""buyPrice"") AS lowest_cost FROM products GROUP BY ""productVendor"";","Uses MIN() to find the lowest baseline cost entry for each product manufacturer."
"Total number of customers","SELECT COUNT(*) AS global_customer_base FROM customers;","Applies an aggregate count across the customers table to return the total number of registered accounts."
"Total number of products","SELECT COUNT(*) AS total_skus FROM products;","Returns a single count of all active items and parts currently listed in the catalog."
"Total revenue from payments","SELECT SUM(amount) AS absolute_revenue FROM payments;","Sums all transaction entries in the financial table to calculate the company's total incoming revenue."
"Average product price","SELECT AVG(""buyPrice"") AS system_wide_average_cost FROM products;","Calculates the global average cost of all products in the database."
"Max payment amount","SELECT MAX(amount) AS largest_single_receipt FROM payments;","Scans the entire payments ledger to find and return the highest single transaction value."
"Min payment amount","SELECT MIN(amount) AS smallest_single_receipt FROM payments;","Finds and displays the lowest dollar transaction entry recorded in the system."
"Count total orders","SELECT COUNT(*) AS historical_order_volume FROM orders;","Counts all rows in the order table to return the total transaction volume."
"Total quantity in stock","SELECT SUM(""quantityInStock"") AS aggregate_on_hand_inventory FROM products;","Calculates the total number of items currently stored across all warehouse locations."
"Average MSRP","SELECT AVG(""MSRP"") AS generalized_retail_sticker_average FROM products;","Computes the average manufacturer's suggested retail price for all items in the catalog."
"Number of employees","SELECT COUNT(*) AS global_headcount FROM employees;","Counts all personnel entries to return the total size of the company's workforce."
